date,x,y,cluster_id
2020-08-30,8.326395,3.0213573,2
2020-08-31,8.422325,1.8374633,2
2020-09-01,8.023076,4.59135,2
2020-09-02,4.83259,0.5204421,2
2020-09-03,2.169713,0.11617631,0
2020-09-04,2.9417171,2.4970388,2
2020-09-05,3.1454482,0.9291117,0
2020-09-06,2.931502,2.312689,2
2020-09-07,2.9475114,2.356973,0
2020-09-08,3.1442668,0.99674505,0
2020-09-09,2.9540863,2.3136342,2
2020-09-10,7.787201,5.8707943,2
2020-09-11,6.648106,0.46488723,2
2020-09-12,6.642591,0.28356647,2
2020-09-13,6.4130807,0.22198415,2
2020-09-14,2.599418,4.073232,2
2020-09-15,8.074748,5.1534443,2
2020-09-16,8.048952,4.8701363,2
2020-09-17,8.037539,5.732958,2
2020-09-18,9.097237,1.4310268,2
2020-09-19,8.114291,4.650186,2
2020-09-20,5.6797166,2.4980075,2
2020-09-21,4.448939,0.4662397,2
2020-09-22,7.606559,0.7298101,2
2020-09-23,5.326531,0.6569595,2
2020-09-24,2.0042512,4.816287,1
2020-09-25,7.4430513,5.9777193,2
2020-09-26,7.4483986,5.95148,2
2020-09-27,7.4400797,5.9582896,2
2020-09-28,7.768655,5.7804637,2
2020-09-29,7.787278,5.740905,2
2020-09-30,7.8981514,5.7004533,2
2020-10-01,6.817744,1.9119496,2
2020-10-02,8.667151,6.980646,2
2020-10-03,8.681209,6.9512405,2
2020-10-04,7.7086997,8.07054,2
2020-10-05,8.384006,7.32711,2
2020-10-06,8.543332,6.8568664,2
2020-10-07,8.632279,6.776683,2
2020-10-08,5.336421,7.313683,2
2020-10-09,9.052103,4.134836,2
2020-10-10,8.441141,4.586031,2
2020-10-11,9.130023,4.0698094,2
2020-10-12,8.379679,4.649332,2
2020-10-13,9.063988,3.7533848,2
2020-10-14,9.166768,3.9762838,2
2020-10-15,9.17913,4.068063,2
2020-10-16,7.7970257,2.3406515,2
2020-10-17,10.061291,2.7849712,2
2020-10-18,9.944585,2.99523,2
2020-10-19,8.251492,4.4159694,2
2020-10-20,8.349858,4.8833437,2
2020-10-21,1.8620172,6.447579,1
2020-10-22,5.717213,5.575156,2
2020-10-23,5.798667,5.450077,2
2020-10-24,5.688994,5.481155,2
2020-10-25,5.7262945,5.342477,2
2020-10-26,5.8075614,5.39436,2
2020-10-27,3.0910416,6.7051806,1
2020-10-28,5.6224957,1.2684538,2
2020-10-29,6.207295,6.3619466,2
2020-10-30,7.899599,5.0332885,2
2020-10-31,7.9881077,4.886597,2
2020-11-01,9.000332,3.6369257,2
2020-11-02,7.1648135,2.5223424,2
2020-11-03,7.6308928,4.720587,2
2020-11-04,8.016409,5.017579,2
2020-11-05,1.3992682,6.4198766,1
2020-11-06,4.7011685,4.709464,2
2020-11-07,2.7641764,0.9153269,0
2020-11-08,3.5902445,5.8698144,1
2020-11-09,4.396648,4.5989785,2
2020-11-10,4.823657,4.6314497,2
2020-11-11,3.986919,5.6358666,1
2020-11-12,3.0124044,5.8971586,1
2020-11-13,5.603571,4.587112,2
2020-11-14,5.394184,4.6431494,2
2020-11-15,7.607072,2.8497198,2
2020-11-16,3.0535688,6.3707356,1
2020-11-17,2.5976946,6.654511,1
2020-11-18,4.853469,5.277357,1
2020-11-19,5.3559203,5.083799,2
2020-11-20,3.120155,6.5545435,1
2020-11-21,5.135237,5.1991067,2
2020-11-22,4.7253103,4.74668,2
2020-11-23,5.352811,5.1271424,2
2020-11-24,3.734048,6.9057927,1
2020-11-25,4.847598,3.738009,2
2020-11-26,2.0911312,0.19511595,0
2020-11-27,3.4858594,2.713574,0
2020-11-28,2.2372859,4.8194537,1
2020-11-29,3.3623521,4.8399925,1
2020-11-30,1.5977992,6.2520533,1
2020-12-01,2.6181486,1.1335964,0
2020-12-02,3.3761697,4.7044673,1
2020-12-03,4.2578535,5.1099706,1
2020-12-04,4.2555456,3.564624,2
2020-12-05,3.8318946,5.211538,1
2020-12-06,4.2460504,4.657425,2
2020-12-07,5.8377566,3.1046917,2
2020-12-08,4.1345778,0.57576174,0
2020-12-09,5.700551,3.2894778,2
2020-12-10,5.609206,1.7603945,2
2020-12-11,5.49334,1.9117503,2
2020-12-12,2.7740672,5.7176533,1
2020-12-13,6.0042286,3.4405627,2
2020-12-14,6.1395116,3.0848298,2
2020-12-15,7.0146284,3.950434,2
2020-12-16,1.3765814,6.3307405,1
2020-12-17,1.486849,6.713064,1
2020-12-18,4.0928025,5.6217256,1
2020-12-19,3.7877178,5.786556,1
2020-12-20,4.1650066,4.5716696,2
2020-12-21,4.0649414,4.0255914,0
2020-12-22,3.6162577,5.888358,1
